title|ser|actors|genre|cert|year|mins|format|set|score
Fifth Element, The|&nbsp;|Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich|Action, Adventure, Sci-Fi|PG-13|1997|126 min|DVD|No|7.7
Fight Club|&nbsp;|Edward Norton, Brad Pitt, Meat Loaf, Zach Grenier|Drama|R|1999|139 min|DVD|No|8.8
Final Conflict, The|&nbsp;|Sam Neill, Rossano Brazzi, Don Gordon, Lisa Harrow|Horror|R|1981|108 min|DVD|Yes|5.6
Final Destination|&nbsp;|Devon Sawa, Ali Larter, Kerr Smith, Kristen Cloke|Horror, Thriller|R|2000|98 min|DVD|No|6.7
Final Destination 2|&nbsp;|Ali Larter, A.J. Cook, Michael Landes, David Paetkau|Horror, Thriller|R|2003|90 min|DVD|No|6.2
Final Destination 3|&nbsp;|Mary Elizabeth Winstead, Ryan Merriman, Kris Lemche, Alexz Johnson|Horror, Thriller|R|2006|93 min|DVD|No|5.8
Finding Forrester|&nbsp;|Sean Connery, Rob Brown, F. Murray Abraham, Anna Paquin|Drama|PG-13|2000|136 min|DVD|No|7.3
Finding Neverland|&nbsp;|Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell|Biography, Drama, Family|PG|2004|106 min|DVD|No|7.7
Flags of our Fathers|&nbsp;|Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey|Drama, History, War|R|2006|135 min|Bluray|Yes|7.1
For a Few Dollars More|&nbsp;|Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mario Brega|Western|R|1965|132 min|DVD|No|8.3
Formula 51|&nbsp;|Samuel L. Jackson, Nigel Whitmey, Robert Jezek, Emily Mortimer|Action, Comedy, Crime, Thriller|R|2001|93 min|DVD|No|6.3
Fourth Protocol, The|&nbsp;|Michael Caine, Pierce Brosnan, Ned Beatty, Joanna Cassidy|Thriller|R|1987|119 min|DVD|No|6.5
French Connection II|&nbsp;|Gene Hackman, Fernando Rey, Bernard Fresson, Philippe Léotard|Action, Crime, Drama, Thriller|R|1975|119 min|DVD|Yes|6.8
French Connection, The|&nbsp;|Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco|Action, Crime, Drama, Thriller|R|1971|104 min|DVD|Yes|7.8
Frequency|&nbsp;|Dennis Quaid, Jim Caviezel, Shawn Doyle, Elizabeth Mitchell|Crime, Drama, Mystery, Sci-Fi, Thriller|PG-13|2000|118 min|DVD|No|7.4
From Hell|&nbsp;|Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane|Horror, Mystery, Thriller|R|2001|122 min|DVD|No|6.8
From Russia with Love|&nbsp;|Sean Connery, Daniela Bianchi, Pedro Armendáriz, Lotte Lenya|Action, Adventure, Thriller|PG|1963|115 min|Bluray|Yes|7.5
Full Metal Jacket|&nbsp;|Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey|Drama, War|R|1987|116 min|DVD|No|8.3
Full Monty, The|&nbsp;|Robert Carlyle, Mark Addy, Wim Snape, Steve Huison|Comedy, Drama|R|1997|91 min|DVD|No|7.2
Fury|&nbsp;|Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña|Action, Drama, War|R|2014|134 min|Bluray|No|7.6
Gauntlet, The|&nbsp;|Clint Eastwood, Sondra Locke, Pat Hingle, William Prince|Action, Crime, Thriller|R|1977|109 min|Bluray|Yes|6.4
Get Carter|&nbsp;|Michael Caine, Ian Hendry, Britt Ekland, John Osborne|Crime, Thriller|R|1971|112 min|DVD|No|7.5
Ghost|&nbsp;|Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn|Drama, Fantasy, Romance, Thriller|PG-13|1990|127 min|DVD|No|7.0
Ghost Ship|&nbsp;|Gabriel Byrne, Julianna Margulies, Ron Eldard, Desmond Harrington|Horror|R|2002|91 min|DVD|No|5.5
Girl on the Train, The|&nbsp;|Emily Blunt, Haley Bennett, Rebecca Ferguson, Justin Theroux|Crime, Drama, Mystery, Thriller|R|2016|112 min|DVD|No|6.5
Girl Who Kicked the Hornet's Nest, The|&nbsp;|Michael Nyqvist, Noomi Rapace, Lena Endre, Annika Hallin|Crime, Drama, Thriller|R|2009|147 min|Bluray|Yes|7.3
Girl Who Played with Fire, The|&nbsp;|Michael Nyqvist, Noomi Rapace, Lena Endre, Peter Andersson|Crime, Drama, Mystery, Thriller|R|2009|129 min|Bluray|Yes|7.2
Girl with the Dragon Tattoo, The|&nbsp;|Michael Nyqvist, Noomi Rapace, Lena Endre, Sven-Bertil Taube|Crime, Drama, Mystery, Thriller|R|2009|152 min|Bluray|Yes|7.8
Gladiator|&nbsp;|Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed|Action, Adventure, Drama|R|2000|155 min|DVD|No|8.5
Glass||James McAvoy, Bruce Willis, Samuel L. Jackson, Anya Taylor-Joy|Drama, Sci-Fi, Thriller|PG-13|2019|129 min|4K HDR|No|6.8
GoldenEye|&nbsp;|Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen|Action, Adventure, Thriller|PG-13|1995|130 min|DVD|No|7.2
Gone Girl||Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry|Drama, Mystery, Thriller|R|2014|149 min|DVD|No|8.1
Gone in Sixty Seconds|&nbsp;|Nicolas Cage, Giovanni Ribisi, Angelina Jolie, T.J. Cross|Action, Crime, Thriller|PG-13|2000|118 min|DVD|No|6.5
Good Will Hunting|&nbsp;|Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton|Drama, Romance|R|1997|126 min|DVD|No|8.3
Good, the Bad and the Ugly, The|&nbsp;|Eli Wallach, Clint Eastwood, Lee Van Cleef, Aldo Giuffrè|Western|R|1966|178 min|DVD|No|8.9
Goodfellas|&nbsp;|Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco|Crime, Drama|R|1990|146 min|DVD|No|8.7
Gothika|&nbsp;|Halle Berry, Robert Downey Jr., Charles S. Dutton, John Carroll Lynch|Horror, Mystery, Thriller|R|2003|98 min|DVD|No|5.8
Gran Torino|&nbsp;|Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her|Drama|R|2008|116 min|Bluray|Yes|8.1
Grease|&nbsp;|John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway|Musical, Romance|PG-13|1978|110 min|DVD|Yes|7.2
Grease 2|&nbsp;|Maxwell Caulfield, Michelle Pfeiffer, Lorna Luft, Maureen Teefy|Comedy, Drama, Musical, Romance|PG|1982|115 min|DVD|Yes|4.3
Great Escape, The|&nbsp;|Steve McQueen, James Garner, Richard Attenborough, James Donald|Adventure, Drama, History, Thriller, War|APPROVED|1963|172 min|DVD|No|8.2
Great Rock 'n' Roll Swindle, The|&nbsp;|Malcolm McLaren, Steve Jones, Paul Cook, Sid Vicious|Music|N/A|1980|103 min|DVD|No|6.5
Green Mile, The|&nbsp;|Tom Hanks, David Morse, Bonnie Hunt, Michael Clarke Duncan|Crime, Drama, Fantasy, Mystery|R|1999|189 min|DVD|No|8.5
Green Zone||Igal Naor, Said Faraj, Faycal Attougui, Aymen Hamdouchi|Action, Drama, Thriller, War|R|2010|115 min|DVD|No|6.8
Guns of Navarone, The|&nbsp;|Gregory Peck, David Niven, Anthony Quinn, Stanley Baker|Action, Adventure, Drama, War|TV-PG|1961|158 min|DVD|No|7.6
Hairspray|&nbsp;|John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes|Comedy, Drama, Music, Musical, Romance|PG|2007|117 min|DVD|No|6.7
Hamburger Hill|&nbsp;|Anthony Barrile, Michael Boatman, Don Cheadle, Michael Dolan|Action, Drama, Thriller, War|R|1987|110 min|DVD|No|6.7
Hannibal|&nbsp;|Anthony Hopkins, Julianne Moore, Gary Oldman, Ray Liotta|Crime, Drama, Thriller|R|2001|131 min|DVD|No|6.8
Hannibal|1|Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne|Crime, Drama, Horror, Mystery, Thriller|TV-14|2013–2015|44 min|DVD|Yes|8.5
Hannibal|2|Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne|Crime, Drama, Horror, Mystery, Thriller|TV-14|2013–2015|44 min|DVD|Yes|8.5
Hannibal|3|Hugh Dancy, Mads Mikkelsen, Caroline Dhavernas, Laurence Fishburne|Crime, Drama, Horror, Mystery, Thriller|TV-14|2013–2015|44 min|DVD|Yes|8.5
Harry Brown|&nbsp;|Michael Caine, Emily Mortimer, Charlie Creed-Miles, David Bradley|Action, Crime, Drama, Thriller|R|2009|103 min|DVD|No|7.2
Harry Potter and the Chamber of Secrets|&nbsp;|Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Griffiths|Adventure, Family, Fantasy, Mystery|PG|2002|161 min|DVD|No|7.4
Harry Potter and the Deathly Hallows: Part 1|&nbsp;|Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling|Adventure, Fantasy, Mystery|PG-13|2010|146 min|Bluray|No|7.7
Harry Potter and the Deathly Hallows: Part 2|&nbsp;|Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe|Adventure, Drama, Fantasy, Mystery|PG-13|2011|130 min|Bluray|No|8.1
Harry Potter and the Goblet of Fire|&nbsp;|Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe|Adventure, Family, Fantasy, Mystery|PG-13|2005|157 min|DVD|No|7.7
Harry Potter and the Half-Blood Prince|&nbsp;|Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson|Adventure, Family, Fantasy, Mystery|PG|2009|153 min|Bluray|No|7.6
Harry Potter and the Order of the Phoenix|&nbsp;|Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin|Adventure, Family, Fantasy, Mystery|PG-13|2007|138 min|DVD|No|7.5
Harry Potter and the Prisoner of Azkaban|&nbsp;|Daniel Radcliffe, Richard Griffiths, Pam Ferris, Fiona Shaw|Adventure, Family, Fantasy, Mystery|PG|2004|142 min|DVD|No|7.9
Harry Potter and the Sorcerer's Stone|&nbsp;|Richard Harris, Maggie Smith, Robbie Coltrane, Saunders Triplets|Adventure, Family, Fantasy|PG|2001|152 min|DVD|No|7.6
Heartbreak Ridge|&nbsp;|Clint Eastwood, Marsha Mason, Everett McGill, Moses Gunn|Drama, War|R|1986|130 min|Bluray|Yes|6.8
Heat|&nbsp;|Al Pacino, Robert De Niro, Val Kilmer, Jon Voight|Crime, Drama, Thriller|R|1995|170 min|DVD|No|8.2
Hereafter|&nbsp;|Matt Damon, Cécile de France, Thierry Neuvic, Cyndi Mayo, Lisa Griffiths|Drama, Fantasy|PG-13|2010|129 min|Bluray|Yes|6.5
High Plains Drifter|&nbsp;|Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan|Mystery, Western|R|1973|105 min|DVD|No|7.6
Highlander|&nbsp;|Christopher Lambert, Roxanne Hart, Clancy Brown, Sean Connery|Action, Adventure, Fantasy|R|1986|116 min|DVD|No|7.2
Hitler: The Rise of Evil|1|Peter Stormare, Friedrich von Thun, Peter O'Toole, Zoe Telford|Biography, Drama, History, War|N/A|2003|130 min|DVD|No|7.3
Hobbit: An Unexpected Journey||Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott|Adventure, Family, Fantasy|PG-13|2012|169 min|Bluray|No|7.9
Homeward Bound II: Lost in San Francisco|&nbsp;|Michael J. Fox, Sally Field, Ralph Waite, Al Michaels|Adventure, Comedy, Family, Romance|G|1996|88 min|DVD|No|5.9
Hook|&nbsp;|Dustin Hoffman, Robin Williams, Julia Roberts, Bob Hoskins|Adventure, Comedy, Family, Fantasy|PG|1991|142 min|DVD|No|6.7
House of Flying Daggers|&nbsp;|Takeshi Kaneshiro, Andy Lau, Ziyi Zhang, Dandan Song|Action, Adventure, Drama, Romance|PG-13|2004|119 min|DVD|No|7.6
House on Haunted Hill|&nbsp;|Geoffrey Rush, Famke Janssen, Taye Diggs, Peter Gallagher|Horror, Mystery, Thriller|R|1999|93 min|DVD|No|5.6
How the Grinch Stole Christmas|&nbsp;|Jim Carrey, Taylor Momsen, Kelley, Jeffrey Tambor|Comedy, Family, Fantasy|PG|2000|104 min|DVD|No|6.1
Hunger Games, The|&nbsp;|Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields|Action, Adventure, Sci-Fi, Thriller|PG-13|2012|142 min|DVD|No|7.2
Hurricane, The|&nbsp;|Denzel Washington, Vicellous Shannon, Deborah Kara Unger, Liev Schreiber|Biography, Drama, Sport|R|1999|146 min|DVD|No|7.6
I, Robot|&nbsp;|Will Smith, Bridget Moynahan, Alan Tudyk, James Cromwell|Action, Crime, Drama, Mystery, Sci-Fi, Thriller|PG-13|2004|115 min|DVD|No|7.1
I.D.|&nbsp;|Reece Dinsdale, Richard Graham, Perry Fenwick, Philip Glenister|Crime, Drama|N/A|1995|107 min|DVD|No|7.4
Imitation Game, The|&nbsp;|Benedict Cumberbatch, Keira Knightley, Matthew Goode, Rory Kinnear|Biography, Drama, Thriller, War|PG-13|2014|114 min|DVD|No|8.0
In the Line of Fire|&nbsp;|Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott|Action, Crime, Drama, Thriller|R|1993|128 min|DVD|No|7.2
In the Valley of Elah|&nbsp;|Tommy Lee Jones, Charlize Theron, Jason Patric, Susan Sarandon|Crime, Drama, Mystery, Thriller|R|2007|121 min|DVD|No|7.2
Inception|&nbsp;|Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy|Action, Adventure, Sci-Fi, Thriller|PG-13|2010|148 min|DVD|No|8.8
Indiana Jones and the Last Crusade|&nbsp;|Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody|Action, Adventure, Fantasy|PG-13|1989|127 min|DVD|Yes|8.2
Indiana Jones and the Temple of Doom|&nbsp;|Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri|Action, Adventure|PG|1984|118 min|DVD|Yes|7.6
Inglourious Basterds|&nbsp;|Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth|Adventure, Drama, War|R|2009|153 min|DVD|No|8.3
Invictus|&nbsp;|Morgan Freeman, Matt Damon, Tony Kgoroge, Patrick Mofokeng|Biography, Drama, History, Sport|PG-13|2009|134 min|Bluray|Yes|7.3
J. Edgar|&nbsp;|Leonardo DiCaprio, Josh Hamilton, Geoff Pierson, Cheryl Lawson|Biography, Crime, Drama, History, Romance|R|2011|137 min|Bluray|Yes|6.6
Jack and the Beanstalk|&nbsp;|Bud Abbott, Lou Costello, Dorothy Ford, Buddy Baer|Comedy, Family, Fantasy, Musical, Romance|NOT RATED|1952|70 min|DVD|Yes|6.1
JFK|&nbsp;|Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed|Drama, History, Thriller|R|1991|189 min|DVD|No|8.0
John Carter|&nbsp;|Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe|Action, Adventure, Sci-Fi|PG-13|2012|132 min|DVD|No|6.6
John Wick||Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe|Action, Crime, Thriller|R|2014|101 min|Bluray|Yes|7.3
John Wick: Chapter 2||Keanu Reeves, Riccardo Scamarcio, Ian McShane, Ruby Rose|Action, Crime, Thriller|R|2017|122 min|Bluray|Yes|7.5
Jupiter Ascending|&nbsp;|Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne|Action, Adventure, Sci-Fi|PG-13|2015|127 min|DVD|No|5.3
K-19: The Widowmaker|&nbsp;|Sam Spruell, Peter Stebbings, Christian Camargo, Roman Podhora|Drama, History, Thriller, War|PG-13|2002|138 min|DVD|No|6.7
Kalifornia|&nbsp;|Brad Pitt, Kathy Larson, David Milford, David Duchovny|Crime, Drama, Thriller|R|1993|117 min|DVD|No|6.7
Kelly's Heroes|&nbsp;|Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor|Adventure, Comedy, War|PG|1970|144 min|DVD|No|7.7
Kelly's Heroes|&nbsp;|Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor|Adventure, Comedy, War|PG|1970|144 min|Bluray|Yes|7.7
Kes||David Bradley, Freddie Fletcher, Lynne Perrie, Colin Welland|Drama, Family|PG-13|1969|111 min|DVD|No|7.9
Kill Bill: Vol. 1|&nbsp;|Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah|Action, Crime, Thriller|R|2003|111 min|DVD|Yes|8.1
Kill Bill: Vol. 2|&nbsp;|Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks|Action, Crime, Thriller|R|2004|137 min|DVD|Yes|8.0
King and I, The|&nbsp;|Deborah Kerr, Yul Brynner, Rita Moreno, Martin Benson|Biography, Drama, Musical, Romance|G|1956|133 min|DVD|No|7.5
King Arthur|&nbsp;|Clive Owen, Ioan Gruffudd, Mads Mikkelsen, Joel Edgerton|Action, Adventure, Drama, History, War|PG-13|2004|126 min|DVD|No|6.3
King Arthur: Legend of the Sword|&nbsp;|Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law, Djimon Hounsou|Action, Adventure, Drama, Fantasy|PG-13|2017|126 min|DVD|No|6.8
King Kong|&nbsp;|Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann|Action, Adventure, Drama, Romance|PG-13|2005|187 min|DVD|No|7.2
Kingdom, The|&nbsp;|Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman|Action, Drama, Thriller|R|2007|110 min|DVD|No|7.0
Labyrinth|&nbsp;|David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson|Adventure, Family, Fantasy, Musical|PG|1986|101 min|DVD|No|7.4
Lady in the Water||Paul Giamatti, Bryce Dallas Howard, Jeffrey Wright, Bob Balaban|Drama, Fantasy, Mystery, Thriller|PG-13|2006|110 min|DVD|No|5.6
Lara Croft Tomb Raider: The Cradle of Life||Angelina Jolie, Gerard Butler, Ciarán Hinds, Chris Barrie|Action, Adventure, Fantasy|PG-13|2003|117 min|DVD|Yes|5.5
Lara Croft: Tomb Raider||Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor|Action, Adventure, Fantasy, Thriller|PG-13|2001|100 min|DVD|Yes|5.8
Last Boy Scout, The|&nbsp;|Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham|Action, Comedy, Crime, Thriller|R|1991|105 min|DVD|No|7.0
Last of the Mohicans, The|&nbsp;|Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig|Action, Adventure, Drama, Romance, War|R|1992|112 min|DVD|No|7.8
Layer Cake|&nbsp;|Daniel Craig, Tom Hardy, Jamie Foreman, Sally Hawkins|Action, Crime, Drama, Thriller|R|2004|105 min|DVD|No|7.4
League of Extraordinary Gentlemen, The|&nbsp;|Sean Connery, Naseeruddin Shah, Peta Wilson, Tony Curran|Action, Adventure, Fantasy, Sci-Fi|PG-13|2003|110 min|DVD|No|5.8
Legally Blonde|&nbsp;|Reese Witherspoon, Luke Wilson, Selma Blair, Matthew Davis|Comedy, Romance|PG-13|2001|96 min|DVD|No|6.3
Léon: The Professional|&nbsp;|Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello|Crime, Drama, Thriller|R|1994|110 min|DVD|No|8.6
Les Misérables in Concert: The 25th Anniversary|&nbsp;|Alfie Boe, Norm Lewis, Matt Lucas, Jenny Galloway|Drama, Music, Musical|NOT RATED|2010|178 min|DVD|No|8.8
Lethal Weapon|&nbsp;|Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan|Action, Crime, Thriller|R|1987|109 min|DVD|No|7.6
Lethal Weapon 2|&nbsp;|Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland|Action, Crime, Thriller|R|1989|114 min|DVD|No|7.2
Lethal Weapon 3|&nbsp;|Mel Gibson, Danny Glover, Joe Pesci, Rene Russo|Action, Crime, Thriller|R|1992|118 min|DVD|No|6.7
Lethal Weapon 4|&nbsp;|Mel Gibson, Danny Glover, Joe Pesci, Rene Russo|Action, Crime, Thriller|R|1998|127 min|DVD|No|6.6
Letters from Iwo Jima|&nbsp;|Ken Watanabe, Kazunari Ninomiya, Tsuyoshi Ihara, Ryo Kase|Drama, History, War|R|2006|141 min|Bluray|Yes|7.9
Life of Brian|&nbsp;|Graham Chapman, John Cleese, Terry Gilliam, Eric Idle|Comedy|R|1979|94 min|DVD|Yes|8.1
Live Aid|&nbsp;|Bob Geldof, Bryan Adams, Stuart Adamson, Mo Amin|Documentary, Music|N/A|1985|960 min|DVD|Yes|8.5
Live and Let Die|&nbsp;|Roger Moore, Yaphet Kotto, Jane Seymour, Clifton James|Action, Adventure, Thriller|PG|1973|121 min|Bluray|Yes|6.8
Lock, Stock and Two Smoking Barrels|&nbsp;|Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham|Comedy, Crime|R|1998|107 min|DVD|No|8.2
London Boulevard|&nbsp;|Colin Farrell, Keira Knightley, David Thewlis, Anna Friel|Crime, Drama|R|2010|103 min|DVD|No|6.2
Lone Ranger, The|&nbsp;|Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson|Action, Adventure, Western|PG-13|2013|150 min|DVD|No|6.4
Longest Yard, The|&nbsp;|Adam Sandler, Chris Rock, Burt Reynolds, Nelly|Comedy, Crime, Sport|PG-13|2005|113 min|DVD|No|6.4
Lord of the Rings: The Fellowship of the Ring|&nbsp;|Alan Howard, Noel Appleby, Sean Astin, Sala Baker|Adventure, Drama, Fantasy|PG-13|2001|178 min|DVD|No|8.8
Lord of the Rings: The Return of the King|&nbsp;|Noel Appleby, Ali Astin, Sean Astin, David Aston|Action, Adventure, Drama, Fantasy|PG-13|2003|201 min|DVD|No|8.9
Lord of the Rings: The Two Towers|&nbsp;|Bruce Allpress, Sean Astin, John Bach, Sala Baker|Adventure, Drama, Fantasy|PG-13|2002|179 min|DVD|No|8.7
Lost|1|Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly|Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller|TV-14|2004–2010|44 min|DVD|Yes|8.4
Lost|2|Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly|Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller|TV-14|2004–2010|44 min|DVD|Yes|8.4
Lost|3|Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly|Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller|TV-14|2004–2010|44 min|DVD|Yes|8.4
Lost|4|Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly|Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller|TV-14|2004–2010|44 min|DVD|Yes|8.4
Lost|5|Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly|Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller|TV-14|2004–2010|44 min|DVD|Yes|8.4
Lost|6|Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly|Adventure, Drama, Fantasy, Mystery, Sci-Fi, Thriller|TV-14|2004–2010|44 min|DVD|Yes|8.4
Lost Boys, The|&nbsp;|Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes|Comedy, Horror|R|1987|97 min|DVD|No|7.3
Lost in La Mancha|&nbsp;|Tony Grisoni, Philip A. Patterson, René Cleitman, Terry Gilliam|Documentary|R|2002|89 min|DVD|No|7.4
Machinist, The|&nbsp;|Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian|Drama, Thriller|R|2004|101 min|DVD|No|7.7
Mad Max||Mel Gibson, Joanne Samuel, Hugh Keays-Byrne, Steve Bisley|Action, Adventure, Sci-Fi, Thriller|R|1979|88 min|DVD|Yes|6.9
Mad Max: Beyond Thunderdome||Mel Gibson, Bruce Spence, Adam Cockburn, Tina Turner|Action, Adventure, Sci-Fi|PG-13|1985|107 min|DVD|Yes|6.3
Mad Max: Fury Road|&nbsp;|Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne|Action, Adventure, Sci-Fi, Thriller|R|2015|120 min|DVD|No|8.1
Mad Max: The Road Warrior||Mel Gibson, Bruce Spence, Michael Preston, Max Phipps|Action, Adventure, Sci-Fi, Thriller|R|1981|94 min|DVD|Yes|7.6
Madame Butterfly|&nbsp;|Ying Huang, Richard Troxell, Ning Liang, Richard Cowan|Drama, Music|N/A|1995|134 min|DVD|No|7.0
Magnificent Seven, The|&nbsp;|Yul Brynner, Eli Wallach, Steve McQueen, Horst Buchholz|Action, Adventure, Western|APPROVED|1960|128 min|DVD|No|7.8
Magnum Force|&nbsp;|Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul|Action, Crime, Mystery, Thriller|R|1973|124 min|Bluray|Yes|7.2
Magnum Force|&nbsp;|Clint Eastwood, Hal Holbrook, Mitchell Ryan, David Soul|Action, Crime, Mystery, Thriller|R|1973|124 min|DVD|Yes|7.2
Man on Fire|&nbsp;|Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken|Action, Crime, Drama, Thriller|R|2004|146 min|DVD|No|7.7
Man Who Fell to Earth, The|&nbsp;|David Bowie, Rip Torn, Candy Clark, Buck Henry|Sci-Fi, Drama|R|1976|139 min|DVD|No|6.7
Man Who Would Be King, The|&nbsp;|Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey|Adventure|PG|1975|129 min|DVD|No|7.9
Man with the Golden Gun, The|&nbsp;|Roger Moore, Christopher Lee, Britt Ekland, Maud Adams|Action, Adventure, Thriller|PG|1974|125 min|DVD|No|6.8
Manhunter|&nbsp;|William Petersen, Kim Greist, Joan Allen, Brian Cox|Crime, Horror, Mystery, Thriller|R|1986|120 min|DVD|No|7.2
Matrix Reloaded, The|&nbsp;|Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu|Action, Sci-Fi|R|2003|138 min|DVD|Yes|7.2
Matrix Revolutions, The|&nbsp;|Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan|Action, Sci-Fi|R|2003|129 min|DVD|Yes|6.7
Matrix, The|&nbsp;|Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving|Action, Sci-Fi|R|1999|136 min|DVD|Yes|8.7
Meaning of Life, The|&nbsp;|Graham Chapman, John Cleese, Terry Gilliam, Eric Idle|Comedy, Musical|R|1983|107 min|DVD|Yes|7.6
Meet Joe Black|&nbsp;|Brad Pitt, Anthony Hopkins, Claire Forlani, Jake Weber|Drama, Fantasy, Romance|PG-13|1998|178 min|DVD|No|7.2
Memento|&nbsp;|Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior|Mystery, Thriller|R|2000|113 min|DVD|No|8.5
Memphis Belle|&nbsp;|Matthew Modine, Eric Stoltz, Tate Donovan, D.B. Sweeney|Action, Drama, War|PG-13|1990|107 min|DVD|No|6.9
Men in Black 3|&nbsp;|Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement|Action, Adventure, Comedy, Sci-Fi|PG-13|2012|106 min|DVD|No|6.8
Men in Black II|&nbsp;|Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle|Action, Adventure, Comedy, Mystery, Sci-Fi|PG-13|2002|88 min|DVD|No|6.1
Miami Vice|&nbsp;|Colin Farrell, Jamie Foxx, Li Gong, Naomie Harris|Action, Crime, Thriller|R|2006|134 min|DVD|No|6.0
Midnight Express|&nbsp;|Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli|Biography, Crime, Drama, Thriller|R|1978|121 min|DVD|No|7.6
Million Dollar Baby|&nbsp;|Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel|Drama, Sport|PG-13|2004|132 min|Bluray|Yes|8.1
