title|season|year|mins|format|score
Lord of the Rings: The Fellowship of the Ring|&nbsp;|2001|178 min|DVD|8.8
Lord of the Rings: The Return of the King|&nbsp;|2003|201 min|DVD|8.9
Lord of the Rings: The Two Towers|&nbsp;|2002|179 min|DVD|8.7
Lost|1|2004–2010|44 min|DVD|8.4
Lost|2|2004–2010|44 min|DVD|8.4
Lost|3|2004–2010|44 min|DVD|8.4
Lost|4|2004–2010|44 min|DVD|8.4
Lost|5|2004–2010|44 min|DVD|8.4
Lost|6|2004–2010|44 min|DVD|8.4
Lost Boys, The|&nbsp;|1987|97 min|DVD|7.3
Lost in La Mancha|&nbsp;|2002|89 min|DVD|7.4
Machinist, The|&nbsp;|2004|101 min|DVD|7.7
Mad Max|&nbsp;|1979|88 min|DVD|6.9
Mad Max: Beyond Thunderdome|&nbsp;|1985|107 min|DVD|6.3
Mad Max: Fury Road|&nbsp;|2015|120 min|DVD|8.1
Mad Max: The Road Warrior|&nbsp;|1981|94 min|DVD|7.6
Madame Butterfly|&nbsp;|1995|134 min|DVD|7.0
Magnificent Seven, The|&nbsp;|1960|128 min|DVD|7.8
Magnum Force|&nbsp;|1973|124 min|DVD|7.2
Magnum Force|&nbsp;|1973|124 min|Blu-ray Disc|7.2
Man on Fire|&nbsp;|2004|146 min|DVD|7.7
Man Who Fell to Earth, The|&nbsp;|1976|139 min|DVD|6.7
Man Who Would Be King, The|&nbsp;|1975|129 min|DVD|7.9
Man with the Golden Gun, The|&nbsp;|1974|125 min|DVD|6.8
Manhunter|&nbsp;|1986|120 min|DVD|7.2
Matrix Reloaded, The|&nbsp;|2003|138 min|DVD|7.2
Matrix Revolutions, The|&nbsp;|2003|129 min|DVD|6.7
Matrix, The|&nbsp;|1999|136 min|DVD|8.7
Meaning of Life, The|&nbsp;|1983|107 min|DVD|7.6
Meet Joe Black|&nbsp;|1998|178 min|DVD|7.2
Memento|&nbsp;|2000|113 min|DVD|8.5
Memphis Belle|&nbsp;|1990|107 min|DVD|6.9
Men in Black 3|&nbsp;|2012|106 min|DVD|6.8
Men in Black II|&nbsp;|2002|88 min|DVD|6.1
Men of Honor|&nbsp;|2000|129 min|DVD|7.2
Mercury Rising|&nbsp;|1998|111 min|DVD|6.1
Metallica: Cunning Stunts|&nbsp;|1998|130 min|DVD|8.3
Miami Vice|&nbsp;|2006|134 min|DVD|6.0
Midnight Express|&nbsp;|1978|121 min|DVD|7.6
Million Dollar Baby|&nbsp;|2004|132 min|Blu-ray Disc|8.1
Million Dollar Baby|&nbsp;|2004|132 min|DVD|8.1
Minority Report|&nbsp;|2002|145 min|DVD|7.7
Miranda|1|2009–2015|30 min|DVD|8.1
Miranda|2|2009–2015|30 min|DVD|8.1
Miss Saigon 25th Anniversary|&nbsp;|2016|141 min|DVD|8.1
Mission: Impossible|&nbsp;|1996|110 min|DVD|7.1
Mission: Impossible II|&nbsp;|2000|123 min|DVD|6.1
Monty Python and the Holy Grail|&nbsp;|1975|91 min|DVD|8.3
Morgan|&nbsp;|2016|92 min|DVD|5.8
Mortal Engines|&nbsp;|2018|128 min|Blu-ray Disc (4K UHD)|6.1
Mortal Instruments: City of Bones|&nbsp;|2013|130 min|DVD|5.9
Mothman Prophecies, The|&nbsp;|2002|119 min|DVD|6.5
Mötley Crüe: Carnival of Sins|&nbsp;|2005|210 min|DVD|8.2
Mr Benn|1|1971–2005|15 min|DVD|7.7
Mr. Holmes|&nbsp;|2015|104 min|DVD|6.9
Mrs. Doubtfire|&nbsp;|1993|125 min|DVD|7.0
Mule, The|&nbsp;|2018|116 min|DVD|7.0
My Fair Lady|&nbsp;|1964|170 min|DVD|7.8
My Little Eye|&nbsp;|2002|95 min|DVD|5.6
Mystic River|&nbsp;|2003|138 min|Blu-ray Disc|8.0
Name of the Rose, The|&nbsp;|1986|130 min|DVD|7.7
Napoleon Dynamite|&nbsp;|2004|96 min|DVD|6.9
National Treasure|&nbsp;|2004|131 min|DVD|6.9
National Treasure: Book of Secrets|&nbsp;|2007|124 min|DVD|6.5
Natural Born Killers|&nbsp;|1994|118 min|DVD|7.3
Negotiator, The|&nbsp;|1998|140 min|DVD|7.3
Nick of Time|&nbsp;|1995|90 min|DVD|6.3
Night Watch|&nbsp;|2004|114 min|DVD|6.4
Nightmare Before Christmas, The|&nbsp;|1993|76 min|DVD|8.0
Ninth Gate, The|&nbsp;|1999|133 min|DVD|6.7
No Country for Old Men|&nbsp;|2007|122 min|DVD|8.1
Ocean's Eleven|&nbsp;|2001|116 min|DVD|7.8
Oliver!|&nbsp;|1968|153 min|DVD|7.4
Omen IV: The Awakening|&nbsp;|1991|97 min|DVD|3.9
Omen, The|&nbsp;|1976|111 min|DVD|7.6
Omen, The|&nbsp;|2006|110 min|DVD|5.5
On Her Majesty's Secret Service|&nbsp;|1969|142 min|DVD|6.8
Once Upon a Time in Mexico|&nbsp;|2003|102 min|DVD|6.4
Other Boleyn Girl, The|&nbsp;|2008|115 min|DVD|6.7
Others, The|&nbsp;|2001|104 min|DVD|7.6
Our Hospitality|&nbsp;|1923|65 min|DVD|7.9
Out for Justice|&nbsp;|1991|91 min|DVD|6.1
Out of Time|&nbsp;|2003|105 min|DVD|6.5
Outlander|&nbsp;|2008|115 min|DVD|6.3
Outlaw Josey Wales, The|&nbsp;|1976|135 min|Blu-ray Disc|7.9
Pacific Rim|&nbsp;|2013|131 min|Blu-ray Disc|6.9
Pale Rider|&nbsp;|1985|115 min|Blu-ray Disc|7.3
Pale Rider|&nbsp;|1985|115 min|DVD|7.3
Papillon|&nbsp;|1973|151 min|DVD|8.0
Patch Adams|&nbsp;|1998|115 min|DVD|6.7
Patriot, The|&nbsp;|2000|165 min|DVD|7.2
Payback|&nbsp;|1999|100 min|DVD|7.1
Pearl Harbor|&nbsp;|2001|183 min|DVD|6.1
Phantom of the Opera, The|&nbsp;|2004|143 min|DVD|7.3
Phone Booth|&nbsp;|2002|81 min|DVD|7.1
Pianist, The|&nbsp;|2002|150 min|DVD|8.5
Pink Floyd: Live at Pompeii|&nbsp;|1972|92 min|DVD|8.7
Pink Panther Strikes Again, The|&nbsp;|1976|103 min|DVD|7.3
Pink Panther, The|&nbsp;|1963|115 min|DVD|7.2
Pirates of the Caribbean: At World's End|&nbsp;|2007|169 min|DVD|7.1
Pirates of the Caribbean: Dead Man's Chest|&nbsp;|2006|151 min|DVD|7.3
Pirates of the Caribbean: The Curse of the Black Pearl|&nbsp;|2003|143 min|DVD|8.0
Pitch Black|&nbsp;|2000|109 min|Blu-ray Disc|7.1
Planet of the Apes|&nbsp;|2001|119 min|DVD|5.7
Platoon|&nbsp;|1986|120 min|DVD|8.1
Plunkett & Macleane|&nbsp;|1999|99 min|DVD|6.4
Point Break|&nbsp;|1991|122 min|DVD|7.2
Pompeii|&nbsp;|2014|105 min|Blu-ray Disc|5.5
Poseidon|&nbsp;|2006|98 min|DVD|5.7
Postman, The|&nbsp;|1997|177 min|DVD|6.0
Predator|&nbsp;|1987|107 min|DVD|7.8
Predator 2|&nbsp;|1990|108 min|DVD|6.3
Prestige, The|&nbsp;|2006|130 min|DVD|8.5
Priest|&nbsp;|2011|87 min|Blu-ray Disc (3D)|5.7
Prime Suspect|1|1991|207 min|DVD|8.3
Prime Suspect|2|1991|207 min|DVD|8.3
Prime Suspect|3|1991|207 min|DVD|8.3
Prime Suspect|4|1991|207 min|DVD|8.3
Prime Suspect|5|1991|207 min|DVD|8.3
Prime Suspect 6: The Last Witness|1|2003|195 min|DVD|8.2
Prime Suspect 7: The Final Act|1|2006|182 min|DVD|8.4
Prince of Persia: The Sands of Time|&nbsp;|2010|116 min|DVD|6.6
Prometheus|&nbsp;|2012|124 min|DVD|7.0
Public Enemies|&nbsp;|2009|140 min|Blu-ray Disc|7.0
Pulp Fiction|&nbsp;|1994|154 min|Blu-ray Disc|8.9
Purple Rain|&nbsp;|1984|111 min|DVD|6.5
Pursuit of Happyness, The|&nbsp;|2006|117 min|DVD|8.0
Quadrophenia|&nbsp;|1979|120 min|DVD|7.3
Quantum of Solace|&nbsp;|2008|106 min|Blu-ray Disc|6.6
Queen Rock Montreal & Live Aid|&nbsp;|2007|138 min|DVD|8.6
Raging Bull|&nbsp;|1980|129 min|DVD|8.2
Raiders of the Lost Ark|&nbsp;|1981|115 min|DVD|8.5
Rain Man|&nbsp;|1988|133 min|DVD|8.0
Real Steel|&nbsp;|2011|127 min|Blu-ray Disc|7.1
Red Dragon|&nbsp;|2002|124 min|DVD|7.2
Reign of Fire|&nbsp;|2002|101 min|DVD|6.2
Replacements, The|&nbsp;|2000|118 min|DVD|6.5
Reservoir Dogs|&nbsp;|1992|99 min|DVD|8.3
Resident Evil|&nbsp;|2002|100 min|DVD|6.7
Resident Evil: Apocalypse|&nbsp;|2004|94 min|DVD|6.2
Riddick|&nbsp;|2013|119 min|DVD|6.4
Rise of the Planet of the Apes|&nbsp;|2011|105 min|Blu-ray Disc|7.6
Road House|&nbsp;|1989|114 min|DVD|6.6
Robin and Marian|&nbsp;|1976|106 min|DVD|6.6
Robin Hood|&nbsp;|2010|140 min|DVD|6.7
Rock of Ages|&nbsp;|2012|123 min|Blu-ray Disc|5.9
Rock, The|&nbsp;|1996|136 min|DVD|7.4
Roger Hodgson: Take the Long Way Home|&nbsp;|2006|59 min|DVD|N/A
Romeo + Juliet|&nbsp;|1996|120 min|DVD|6.8
Romy and Michele's High School Reunion|&nbsp;|1997|92 min|DVD|6.2
Ronin|&nbsp;|1998|122 min|DVD|7.3
Rush|&nbsp;|2013|123 min|DVD|8.1
Safe House|&nbsp;|2012|115 min|DVD|6.8
Salt|&nbsp;|2010|100 min|DVD|6.4
Santa Claus: The Movie|&nbsp;|1985|107 min|DVD|6.1
Save the Last Dance|&nbsp;|2001|112 min|DVD|6.2
Saving Private Ryan|&nbsp;|1998|169 min|DVD|8.6
Schindler's List|&nbsp;|1993|195 min|DVD|8.9
Se7en|&nbsp;|1995|127 min|DVD|8.6
Secret Window|&nbsp;|2004|96 min|DVD|6.6
Senna|&nbsp;|2010|106 min|Blu-ray Disc|8.6
Serenity|&nbsp;|2005|119 min|DVD|7.9
Seven Pounds|&nbsp;|2008|123 min|DVD|7.6
Sex and the City|&nbsp;|2008|145 min|DVD|5.6
Shallow Grave|&nbsp;|1994|89 min|DVD|7.3
Shaun of the Dead|&nbsp;|2004|99 min|DVD|7.9
Shawshank Redemption, The|&nbsp;|1994|142 min|DVD|9.3
Sherlock Holmes|&nbsp;|2009|128 min|DVD|7.6
Sherlock Holmes|&nbsp;|2009|128 min|Blu-ray Disc|7.6
Sherlock Jr.|&nbsp;|1924|45 min|DVD|8.2
Shooter|&nbsp;|2007|124 min|DVD|7.2
Siberia|&nbsp;|2018|104 min|DVD|4.3
Sicario|&nbsp;|2015|121 min|DVD|7.6
Signs|&nbsp;|2002|106 min|Blu-ray Disc|6.7
Silence of the Lambs, The|&nbsp;|1991|118 min|DVD|8.6
Sin City|&nbsp;|2005|124 min|DVD|8.0
Sixth Sense, The|&nbsp;|1999|107 min|Blu-ray Disc|8.1
Sky Captain and the World of Tomorrow|&nbsp;|2004|106 min|DVD|6.1
Skyfall|&nbsp;|2012|143 min|Blu-ray Disc|7.8
Sleepy Hollow|&nbsp;|1999|105 min|DVD|7.4
Slipknot: Up to Our Necks|&nbsp;|2004|64 min|DVD|N/A
Smokey and the Bandit|&nbsp;|1977|96 min|DVD|7.0
Snatch|&nbsp;|2000|102 min|DVD|8.3
Snow Dogs|&nbsp;|2002|99 min|DVD|5.1
Sons of Anarchy|1|2008–2014|45 min|DVD|8.6
Sons of Anarchy|2|2008–2014|45 min|DVD|8.6
Sons of Anarchy|3|2008–2014|45 min|DVD|8.6
Sons of Anarchy|4|2008–2014|45 min|DVD|8.6
Sons of Anarchy|5|2008–2014|45 min|DVD|8.6
Sons of Anarchy|6|2008–2014|45 min|DVD|8.6
Sons of Anarchy|7|2008–2014|45 min|DVD|8.6
Sorcerer's Apprentice, The|&nbsp;|2010|109 min|DVD|6.1
Sound of Music, The|&nbsp;|1965|172 min|DVD|8.0
Source Code|&nbsp;|2011|93 min|DVD|7.5
South Pacific|&nbsp;|1958|157 min|DVD|6.9
Space Cowboys|&nbsp;|2000|130 min|Blu-ray Disc|6.4
Spartacus|1|2010–2013|55 min|DVD|8.5
Spartacus: Gods of the Arena|1|2011|331 min|DVD|8.5
Species|&nbsp;|1995|108 min|DVD|5.8
Spectre|&nbsp;|2015|148 min|Blu-ray Disc|6.8
Split|&nbsp;|2016|117 min|Blu-ray Disc|7.3
Square, The|&nbsp;|2008|105 min|DVD|6.7
Star Wars: The Force Awakens|&nbsp;|2015|136 min|DVD|8.0
Stardust|&nbsp;|2007|127 min|DVD|7.6
Starship Troopers|&nbsp;|1997|129 min|DVD|7.2
Starship Troopers 3: Marauder|&nbsp;|2008|105 min|DVD|4.3
Starsky & Hutch|&nbsp;|2004|101 min|DVD|6.1
Stigmata|&nbsp;|1999|103 min|DVD|6.2
Sudden Impact|&nbsp;|1983|117 min|DVD|6.6
Suicide Squad|&nbsp;|2016|123 min|Blu-ray Disc|6.1
Super Size Me|&nbsp;|2004|100 min|DVD|7.2
Sweeney Todd: The Demon Barber of Fleet Street|&nbsp;|2007|116 min|DVD|7.4
Swordfish|&nbsp;|2001|99 min|DVD|6.5
T2 Trainspotting|&nbsp;|2017|117 min|DVD|7.2
Taking of Pelham 123, The|&nbsp;|2009|106 min|Blu-ray Disc|6.4
Tank Girl|&nbsp;|1995|104 min|DVD|5.3
Taxi Driver|&nbsp;|1976|114 min|DVD|8.3
Tenacious D in The Pick of Destiny|&nbsp;|2006|93 min|DVD|6.8
Terminator 2: Judgment Day|&nbsp;|1991|137 min|DVD|8.5
Terminator 3: Rise of the Machines|&nbsp;|2003|109 min|DVD|6.3
Terminator Genisys|&nbsp;|2015|126 min|DVD|6.4
Terminator Salvation|&nbsp;|2009|115 min|DVD|6.6
Terminator, The|&nbsp;|1984|107 min|DVD|8.0
Theory of Everything, The|&nbsp;|2014|123 min|DVD|7.7
Thing, The|&nbsp;|1982|109 min|DVD|8.1
This Is It|&nbsp;|2009|111 min|Blu-ray Disc|7.3
Thomas Crown Affair, The|&nbsp;|1999|113 min|DVD|6.8
Three Kings|&nbsp;|1999|114 min|DVD|7.1
Throw Momma from the Train|&nbsp;|1987|88 min|DVD|6.2
Thunderball|&nbsp;|1965|130 min|Blu-ray Disc|7.0
Time Bandits|&nbsp;|1981|110 min|DVD|7.0
Titanic|&nbsp;|1997|194 min|DVD|7.8
To Kill a Mockingbird|&nbsp;|1962|129 min|DVD|8.3
Tomb Raider|&nbsp;|2018|119 min|DVD|6.3
Tombstone|&nbsp;|1993|130 min|DVD|7.8
Top Gun|&nbsp;|1986|110 min|DVD|6.9
Tourist, The|&nbsp;|2010|103 min|Blu-ray Disc|6.0
Trail of the Pink Panther|&nbsp;|1982|96 min|DVD|4.9
Training Day|&nbsp;|2001|122 min|DVD|7.7
Trainspotting|&nbsp;|1996|93 min|DVD|8.1
Trance|&nbsp;|2013|101 min|Blu-ray Disc|6.9
Transcendence|&nbsp;|2014|119 min|DVD|6.3
Transformers|&nbsp;|2007|144 min|DVD|7.1
Transformers: Revenge of the Fallen|&nbsp;|2009|150 min|DVD|6.0
Troll Bridge|&nbsp;|2019|25 min|DVD|8.5
Trollhunter|&nbsp;|2010|103 min|DVD|7.0
Trouble with the Curve|&nbsp;|2012|111 min|Blu-ray Disc|6.8
Troy|&nbsp;|2004|163 min|DVD|7.2
True Blood|1|2008–2014|55 min|DVD|7.9
True Blood|2|2008–2014|55 min|DVD|7.9
True Blood|3|2008–2014|55 min|DVD|7.9
True Blood|4|2008–2014|55 min|DVD|7.9
True Blood|5|2008–2014|55 min|DVD|7.9
True Grit|&nbsp;|1969|128 min|DVD|7.4
True Romance|&nbsp;|1993|119 min|DVD|7.9
Tsotsi|&nbsp;|2005|94 min|DVD|7.3
Twelve Monkeys|&nbsp;|1995|129 min|DVD|8.0
U-571|&nbsp;|2000|116 min|DVD|6.6
Ultraviolet|&nbsp;|2006|88 min|DVD|4.4
Unbreakable|&nbsp;|2000|106 min|Blu-ray Disc|7.3
Underworld|&nbsp;|2003|121 min|DVD|7.0
Unforgiven|&nbsp;|1992|130 min|Blu-ray Disc|8.2
Unknown|&nbsp;|2011|113 min|DVD|6.9
Untouchables, The|&nbsp;|1987|119 min|DVD|7.9
Up|&nbsp;|2009|96 min|Blu-ray Disc|8.2
Up in the Air|&nbsp;|2009|109 min|DVD|7.4
Utopia|&nbsp;|1951|82 min|DVD|5.6
V for Vendetta|&nbsp;|2005|132 min|DVD|8.2
Valerian and the City of a Thousand Planets|&nbsp;|2017|137 min|DVD|6.5
Van Helsing|&nbsp;|2004|131 min|DVD|6.1
Vantage Point|&nbsp;|2008|90 min|DVD|6.6
Vikings|1|2013–|44 min|DVD|8.6
Vikings|4|2013–|44 min|DVD|8.6
Village, The|&nbsp;|2004|108 min|DVD|6.5
Walk the Line|&nbsp;|2005|136 min|DVD|7.9
Wanted|&nbsp;|2008|110 min|DVD|6.7
War of the Worlds|&nbsp;|2005|116 min|DVD|6.5
Warcraft|&nbsp;|2016|123 min|Blu-ray Disc|6.8
Watcher, The|&nbsp;|2000|97 min|DVD|5.3
Waterworld|&nbsp;|1995|135 min|DVD|6.2
Wayne's World|&nbsp;|1992|94 min|DVD|7.0
Wayne's World 2|&nbsp;|1993|95 min|DVD|6.2
We Were Soldiers|&nbsp;|2002|138 min|DVD|7.2
West Side Story|&nbsp;|1961|153 min|DVD|7.5
West Side Story|&nbsp;|1961|153 min|DVD|7.6
Westworld|&nbsp;|1973|88 min|DVD|7.0
What's Eating Gilbert Grape|&nbsp;|1993|118 min|DVD|7.8
What's Love Got to Do with It|&nbsp;|1993|118 min|DVD|7.3
What Lies Beneath|&nbsp;|2000|130 min|DVD|6.6
Where Eagles Dare|&nbsp;|1968|158 min|Blu-ray Disc|7.7
Willow|&nbsp;|1988|126 min|DVD|7.3
Willy Wonka & the Chocolate Factory|&nbsp;|1971|100 min|DVD|7.8
Windtalkers|&nbsp;|2002|134 min|DVD|6.0
Wolverine, The|&nbsp;|2013|126 min|Blu-ray Disc (3D)|6.7
Wonder Woman|&nbsp;|2017|141 min|DVD|7.5
World Is Not Enough, The|&nbsp;|1999|128 min|DVD|6.4
X-Men|&nbsp;|2000|104 min|DVD|7.4
X-Men 2|&nbsp;|2003|134 min|DVD|7.5
X-Men: The Last Stand|&nbsp;|2006|104 min|DVD|6.7
Yentl|&nbsp;|1983|133 min|DVD|6.6
Zathura: A Space Adventure|&nbsp;|2005|101 min|DVD|6.1
Zero Dark Thirty|&nbsp;|2012|157 min|DVD|7.4
Zodiac|&nbsp;|2007|157 min|DVD|7.7
Zulu|&nbsp;|1964|138 min|DVD|7.8
