title|season|year|mins|format|score
Breaking Bad|2|2008–2013|49 min|DVD|9.5
Breaking Bad|3|2008–2013|49 min|DVD|9.5
Breaking Bad|4|2008–2013|49 min|DVD|9.5
Breaking Bad|5|2008–2013|49 min|DVD|9.5
Brother Bear|&nbsp;|2003|85 min|DVD|6.8
Brothers Grimm, The|&nbsp;|2005|118 min|DVD|5.9
Bucket List, The|&nbsp;|2007|97 min|DVD|7.4
Cape Fear|&nbsp;|1962|106 min|DVD|7.8
Cape Fear|&nbsp;|1991|128 min|DVD|7.3
Captain Phillips|&nbsp;|2013|134 min|DVD|7.8
Captain Pugwash|1|1957–1966|5 min|DVD|6.7
Casino|&nbsp;|1995|178 min|DVD|8.2
Casino Royale|&nbsp;|2006|144 min|Blu-ray Disc|8.0
Cast Away|&nbsp;|2000|143 min|DVD|7.8
Cats|&nbsp;|1998|120 min|DVD|7.7
Charlie and the Chocolate Factory|&nbsp;|2005|115 min|DVD|6.7
Chicago|&nbsp;|2002|113 min|DVD|7.2
Children of Men|&nbsp;|2006|109 min|DVD|7.9
Chitty Chitty Bang Bang|&nbsp;|1968|144 min|DVD|6.9
Chocolat|&nbsp;|2000|121 min|DVD|7.3
Chronicles of Riddick, The|&nbsp;|2004|119 min|DVD|6.7
Chronicles of Riddick: Dark Fury|&nbsp;|2004|35 min|DVD|6.6
Cinderella Man|&nbsp;|2005|144 min|DVD|8.0
Clash of the Titans|&nbsp;|2010|106 min|DVD|5.8
Cloud Atlas|&nbsp;|2012|172 min|DVD|7.5
Coco|&nbsp;|2017|105 min|DVD|8.4
Cold Mountain|&nbsp;|2003|154 min|DVD|7.2
Coldplay: Live 2003|&nbsp;|2003|130 min|DVD|8.4
Colgate Comedy Hour, The|4|1950–1955|60 min|DVD|7.6
Colombiana|&nbsp;|2011|108 min|DVD|6.4
Commitments, The|&nbsp;|1991|118 min|DVD|7.6
Conan the Destroyer|&nbsp;|1984|103 min|DVD|5.9
Confessions of a Shopaholic|&nbsp;|2009|104 min|DVD|5.9
Conspiracy Theory|&nbsp;|1997|135 min|DVD|6.7
Constantine|&nbsp;|2005|121 min|DVD|7.0
Contagion|&nbsp;|2011|106 min|DVD|6.6
Coogan's Bluff|&nbsp;|1968|93 min|DVD|6.5
Cool Hand Luke|&nbsp;|1967|127 min|DVD|8.1
Cool Runnings|&nbsp;|1993|98 min|DVD|6.9
Corpse Bride|&nbsp;|2005|77 min|DVD|7.4
Coyote Ugly|&nbsp;|2000|100 min|DVD|5.6
Crouching Tiger, Hidden Dragon|&nbsp;|2000|120 min|DVD|7.9
Cry-Baby|&nbsp;|1990|85 min|DVD|6.5
Curious Case of Benjamin Button, The|&nbsp;|2008|166 min|DVD|7.8
Da Vinci Code, The|&nbsp;|2006|149 min|DVD|6.6
Dad's Army|1|1968–1977|30 min|DVD|8.1
Dad's Army|2|1968–1977|30 min|DVD|8.1
Dad's Army|3|1968–1977|30 min|DVD|8.1
Dad's Army|4|1968–1977|30 min|DVD|8.1
Dad's Army|5|1968–1977|30 min|DVD|8.1
Dad's Army|6|1968–1977|30 min|DVD|8.1
Dad's Army|7|1968–1977|30 min|DVD|8.1
Dad's Army|8|1968–1977|30 min|DVD|8.1
Dad's Army|9|1968–1977|30 min|DVD|8.1
Damien: Omen II|&nbsp;|1978|107 min|DVD|6.3
Dances with Wolves|&nbsp;|1990|181 min|DVD|8.0
Danish Girl, The|&nbsp;|2015|119 min|Blu-ray Disc|7.1
Daredevil|&nbsp;|2003|103 min|DVD|5.3
Dark Crystal, The|&nbsp;|1982|93 min|DVD|7.2
Dark Knight Rises, The|&nbsp;|2012|164 min|Blu-ray Disc|8.4
Dark Knight, The|&nbsp;|2008|152 min|Blu-ray Disc|9.0
Dark Shadows|&nbsp;|2012|113 min|Blu-ray Disc|6.2
Darkest Hour|&nbsp;|2017|125 min|DVD|7.4
Dawn of the Planet of the Apes|&nbsp;|2014|130 min|Blu-ray Disc|7.6
Day After Tomorrow, The|&nbsp;|2004|124 min|DVD|6.4
Days of Thunder|&nbsp;|1990|107 min|DVD|5.9
Dead Poets Society|&nbsp;|1989|128 min|DVD|8.1
Dead Pool, The|&nbsp;|1988|91 min|DVD|6.3
Death Kiss|&nbsp;|2018|87 min|DVD|4.5
Death Wish|&nbsp;|2018|107 min|DVD|6.4
Deer Hunter, The|&nbsp;|1978|183 min|DVD|8.1
Defiance|&nbsp;|2008|137 min|DVD|7.2
Deja Vu|&nbsp;|2006|126 min|DVD|7.1
Deliverance|&nbsp;|1972|109 min|DVD|7.7
Depeche Mode: 101|&nbsp;|1989|117 min|DVD|8.2
Depeche Mode: One Night in Paris|&nbsp;|2002|118 min|DVD|8.6
Depeche Mode: The Videos 86>98+|&nbsp;|2002|214 min|DVD|8.5
Desperado|&nbsp;|1995|104 min|DVD|7.2
Devil's Rejects, The|&nbsp;|2005|107 min|DVD|6.9
Dexter|1|2006–2013|53 min|DVD|8.6
Dexter|2|2006–2013|53 min|DVD|8.6
Dexter|3|2006–2013|53 min|DVD|8.6
Dexter|4|2006–2013|53 min|DVD|8.6
Dexter|5|2006–2013|53 min|DVD|8.6
Dexter|6|2006–2013|53 min|DVD|8.6
Die Another Day|&nbsp;|2002|133 min|Blu-ray Disc|6.1
Die Hard|&nbsp;|1988|132 min|DVD|8.2
Die Hard 2|&nbsp;|1990|124 min|DVD|7.1
Die Hard with a Vengeance|&nbsp;|1995|128 min|DVD|7.6
Dirty Dancing|&nbsp;|1987|100 min|DVD|6.9
Dirty Harry|&nbsp;|1971|102 min|Blu-ray Disc|7.8
Dirty Harry|&nbsp;|1971|102 min|DVD|7.8
Django Unchained|&nbsp;|2012|165 min|Blu-ray Disc|8.4
Doctor Who|1|2005–|45 min|DVD|8.7
Doctor Who|2|2005–|45 min|DVD|8.7
Doctor Who|3|2005–|45 min|DVD|8.7
Doctor Who|4|2005–|45 min|DVD|8.7
Dogma|&nbsp;|1999|130 min|DVD|7.3
Domino|&nbsp;|2005|127 min|DVD|6.0
Don Juan DeMarco|&nbsp;|1994|97 min|DVD|6.7
Donnie Brasco|&nbsp;|1997|127 min|DVD|7.8
Donnie Darko|&nbsp;|2001|113 min|DVD|8.1
Doors, The|&nbsp;|1991|140 min|DVD|7.2
Double Jeopardy|&nbsp;|1999|105 min|DVD|6.4
Dr. No|&nbsp;|1962|110 min|Blu-ray Disc|7.3
DragonHeart|&nbsp;|1996|103 min|DVD|6.4
Dune|&nbsp;|1984|137 min|DVD|6.6
Eagle Has Landed, The|&nbsp;|1976|123 min|DVD|6.9
East Is East|&nbsp;|1999|96 min|DVD|6.9
Eastwood Directs: The Untold Story|&nbsp;|2013|65 min|Blu-ray Disc|6.7
Eastwood Factor, The|&nbsp;|2010|89 min|Blu-ray Disc|6.8
Ed Wood|&nbsp;|1994|127 min|DVD|7.9
Edge of Darkness|&nbsp;|2010|117 min|DVD|6.6
Edge of Tomorrow|&nbsp;|2014|113 min|DVD|7.9
Edward Scissorhands|&nbsp;|1990|105 min|DVD|7.9
Eight Below|&nbsp;|2006|120 min|DVD|7.3
El Mariachi|&nbsp;|1992|81 min|DVD|6.9
Elektra|&nbsp;|2005|97 min|DVD|4.7
Elizabeth|&nbsp;|1998|124 min|DVD|7.4
Elizabeth: The Golden Age|&nbsp;|2007|114 min|DVD|6.8
Elysium|&nbsp;|2013|109 min|DVD|6.6
End of Days|&nbsp;|1999|122 min|DVD|5.7
Enemy at the Gates|&nbsp;|2001|131 min|DVD|7.6
Enemy of the State|&nbsp;|1998|132 min|DVD|7.3
Enforcer, The|&nbsp;|1976|96 min|DVD|6.8
Equalizer, The|&nbsp;|2014|132 min|Blu-ray Disc|7.2
Erin Brockovich|&nbsp;|2000|131 min|DVD|7.3
Escape from L.A.|&nbsp;|1996|101 min|DVD|5.7
Escape from New York|&nbsp;|1981|99 min|DVD|7.2
Evelyn|&nbsp;|2002|94 min|DVD|7.0
Every Which Way but Loose|&nbsp;|1978|114 min|DVD|6.3
Evolution|&nbsp;|2001|101 min|DVD|6.1
Ex Machina|&nbsp;|2014|108 min|DVD|7.7
Excalibur|&nbsp;|1981|140 min|DVD|7.4
Exit Wounds|&nbsp;|2001|101 min|DVD|5.5
Exodus: Gods and Kings|&nbsp;|2014|150 min|DVD|6.0
Face/Off|&nbsp;|1997|138 min|DVD|7.3
Fallen|&nbsp;|1998|124 min|DVD|7.0
Fame|&nbsp;|1980|134 min|DVD|6.6
Family Man, The|&nbsp;|2000|125 min|DVD|6.7
Fantastic Beasts and Where to Find Them|&nbsp;|2016|132 min|DVD|7.3
Far and Away|&nbsp;|1992|140 min|DVD|6.6
Farscape|1|1999–2003|50 min|DVD|8.3
Fawlty Towers|1|1975–1979|30 min|DVD|8.7
Fawlty Towers|2|1975–1979|30 min|DVD|8.7
Ferris Bueller's Day Off|&nbsp;|1986|103 min|DVD|7.8
Fiddler on the Roof|&nbsp;|1971|181 min|DVD|8.0
Fifth Element, The|&nbsp;|1997|126 min|DVD|7.7
Fight Club|&nbsp;|1999|139 min|DVD|8.8
Filth|&nbsp;|2013|97 min|DVD|7.1
Final Conflict, The|&nbsp;|1981|108 min|DVD|5.6
Final Destination|&nbsp;|2000|98 min|DVD|6.7
Final Destination 2|&nbsp;|2003|90 min|DVD|6.2
Final Destination 3|&nbsp;|2006|93 min|DVD|5.8
Finding Forrester|&nbsp;|2000|136 min|DVD|7.3
Finding Neverland|&nbsp;|2004|106 min|DVD|7.7
Firefly|1|2002–2003|44 min|DVD|9.0
Firefox|&nbsp;|1982|136 min|DVD|6.0
Firm, The|&nbsp;|1993|154 min|DVD|6.8
First Knight|&nbsp;|1995|134 min|DVD|6.0
Flags of our Fathers|&nbsp;|2006|135 min|Blu-ray Disc|7.1
Flash Gordon|&nbsp;|1980|111 min|Blu-ray Disc|6.5
Flash Gordon|&nbsp;|1980|111 min|DVD|6.5
For a Few Dollars More|&nbsp;|1965|132 min|DVD|8.3
Formula 51|&nbsp;|2001|93 min|DVD|6.3
Fourth Protocol, The|&nbsp;|1987|119 min|DVD|6.5
